start	end	text
880	3280	欢迎来到AI网文剧本课程
3280	5940	我们快速回顾一下善解课的学习内容
5940	9440	善解课是中长篇内容框架生成技巧
9440	12300	分析了小说大纲框架的重要性
12300	15140	重点学习是W场景搭建法
15140	18860	使用这个方法可以帮我们搭建庞大的世界观
18860	22360	今天的课程是中长篇内容续写技巧
22360	24600	我们会学习三大技巧
24600	26760	分别是网文章节规划
26760	28280	网文章节生成
28480	29860	网文章节排榜
29860	30920	和续写技巧
30920	33340	今天的课程内容分为三个部分
33340	34480	第一部分
34480	36440	网文章节规划技巧
36440	39280	学习整个网文的写作的四个阶段
39280	40640	第二部分
40640	42560	网文章节生成技巧
42560	44520	会教大家拆解章节
44520	46360	根据章节分开写作
46360	47940	第三部分
47940	50020	网文文章续写技巧
50020	52740	会利用腾讯文档排榜文章
52740	54020	方便管理和改写
54020	56000	那么接下来进入今天的课程内容
57740	58960	首先我们来了解一下
58960	60280	网文文章的规划技巧
60280	62000	上节课程中我们已经提到了
62000	63900	网文的整个框架是如何生成的
63900	65420	整个框架其实做的差不多了
65420	66380	但还有一个小的细节
66380	67720	网文并没有去给它进行生成
67720	69260	就是前40万字的节奏
69260	70840	这前40万字的节奏
70840	72140	其实跟我们今天所要讲的
72140	74280	网文生成和续写的技巧是有关系的
74280	75640	接下来我们就来了解一下
75640	77140	前40万字为什么这么重要
77140	78620	简单来说
78620	80360	可以把整个网文的写作阶段
80360	81240	分为四个阶段
81240	82380	10万字以内
82380	83320	15万字以内
83320	84220	40万字以内
84220	85340	以及40万字以后
85340	86100	这四个阶段
86100	87820	其实各自的侧重点是不一样的
87820	89440	而实际上40万字以内的
89440	90820	这三个阶段是最为重要的
90820	92460	因为细坑往往都是发生在
92460	93420	这40万字以内的
93420	95100	首先我们来看一下
95100	96720	网文写作四个阶段的第一个阶段
96720	98060	也就是10万字以内
98060	99060	10万字以内
99060	100420	它是一个验证架构的周期
100420	101800	这个周期的核心作用
101800	103740	其实就是验证我们所写的这个世界观
103740	105700	这个设定是否是用户所喜欢的
105700	106860	这个周期尤为重要
106860	108080	因为这个周期就决定了
108080	109440	你的作品起点能够有多高
109440	111300	好的作品一定是在前10万字内
111300	112240	特别能抓住人的
112240	114300	而且大部分作品能否与平台签约
114300	116100	也就是这10万字内所决定的
116100	117680	基本上所有的平台签约期
117680	118660	都是在10万字以内
118660	119640	如果写了10万字
119640	120240	你没有签约
120240	121740	后续其实也没有必要挣扎了
121740	122640	这说明平台判断
122640	123620	这本书没有太大潜力
123620	124620	即使后续续约
124620	126020	也不太可能会有很好的发展
126020	128100	平台是不会给到流量倾斜和扶持的
128100	129680	所以10万字以内至关重要
129680	131300	并且在这前10万字里
131300	132440	我们必须要把世界观
132440	133440	展示的清清楚楚
133440	134000	明明白白
134000	135380	把设定中最有趣的部分
135380	136580	一定要在这前10万字里
136580	137160	直接扑出来
137160	138420	如果说前10万字
138420	138960	用户看不到
138960	140500	能够让他们继续读下去的点
140500	142700	那么这时候流失率是最高的
142700	144080	所以前10万字非常重要
144080	145060	一定要想翻设法
145060	145900	快速切入主题
145900	147060	快速展开世界观
147060	148440	把故事中最有趣的部分
148440	149980	在前10万字里直接抛出来
149980	151160	让读者产生兴趣
151160	152720	同时让平台编辑产生兴趣
152720	153360	产生关注
153360	154740	这样才能大概率提升
154740	156240	小撮的签约可能性
156240	157640	接着是第二个阶段
157640	158900	15万字以内的阶段
158900	160480	一旦前10万字过了签约区
160480	161580	那么在15万字以内
161580	163140	我们就会迎来第一波平台的流量
163140	164600	因为新书上架之后
164600	166260	平台会测试这本新书的潜力
166260	167340	有多少
167340	168260	所以这个阶段
168260	170040	平台会适当给到一定的流量倾斜
170040	171640	这也就是我们一直所说的
171640	172620	新手签约保护期
172620	173860	如果在15万字以内
173860	174880	作品质量比较不错
174880	176360	后续平台会逐渐给到资源
176360	176920	不断推流
176920	177980	在各个渠道曝光
177980	179360	但如果15万字以内里
179360	180180	数据不是特别好
180180	181960	后续平台可能就会放弃这本小说
181960	183540	看你这边的自然增长流量了
183540	184800	所以这个周期特别重要
184800	186420	一定要抓好平台的流量倾斜期
186420	187460	在15万字以内
187460	188480	一定要做到暴点密集
188480	189220	只有暴点密集
189220	190420	才能大量吸引用户订阅
190420	192120	同时为了让用户更好的订阅
192120	192960	打赏点赞
192960	194380	市场暴更也很重要
194380	195640	你可以在文末告诉读者
195640	196920	如果大家今天打赏
196920	197980	点赞到什么程度
197980	199300	你可能明天或者后天
199300	200060	会暴更多少张
200060	200760	这样一来
200760	201820	也可以更好的冲击数据
201820	203080	所以这个阶段来说
203080	204700	很明显一定是强框架的
204700	205800	只有在框架设定里
205800	207100	前期思考清楚这些暴点
207100	208500	才能在前15万字以内
208500	209740	很好的进行高密度轰炸
209740	210900	第三个阶段
210900	212940	也就是网文写到15万字到40万字
212940	214720	因为前15万字高密度轰炸
214720	215280	写完之后
215280	216080	如果数据还不错
216080	217160	继续坚持写下去
217160	219120	那么必然会在15万字到40万字之间
219120	220120	迎来第一个疲劳期
220120	221680	所以这是一个修正的周期
221680	222680	这个阶段来说
222680	223300	不要冲得太猛
223300	224540	因为前面刚打完一场大战
224540	225640	密集抛了各种暴点
225640	227160	一方面体力到了极限的阶段
227160	227920	另一方面
227920	229020	脑海中所构思的情节
229020	230180	可能没有那么多存获了
230180	231980	这个时候比较适合的方式是晃一晃
231980	233000	但如果缓得太厉害
233000	234120	文章就会写的特别水
234120	234740	造成掉粉
234740	236360	所以滑水也是有技巧的
236360	237420	可以适当多一些爽点
237420	238700	参一些长剑桥段过渡
238700	240200	但要确保每5个章节
240200	240980	依然有一个暴点
240980	242020	所以这个周期来说
242020	243500	对框架的依赖相对会弱一些
243500	244720	是一个弱框架周期
244720	245940	用来修整放缓节奏
245940	247860	为什么定在40万字
247860	249100	因为根据大量数据验证
249100	250300	除非是线下级神座
250300	252140	一般用户订阅增长到40万字左右
252140	253240	就开始进入平缓期
253240	254260	甚至慢慢下滑
254260	255200	这是无论怎么努力
255200	255900	都无法避免的
255900	257340	所以心态一定要放平和
257340	258340	40万字以后
258340	258960	我们要做的事情
258960	259860	其实是保持稳定
259860	261340	尽量确保缓慢数据增长
261340	262580	延缓数据下滑时间点
262580	263820	控制数据下滑速度
263820	264860	40万字以前
264860	265860	我们要的是充数据
265860	266660	40万字以后
266660	267620	要想翻设法
267620	268840	延长整个小说的寿命
268840	269900	只有延长小说寿命
269900	271000	才能使收益最大化
271000	272180	因为如果新开一个坑
272180	273480	要重新验证小说
273480	274880	是否能经得起市场验证
274880	275740	是有风险的
275740	277000	所以如果写的小说
277000	277800	获得比较好的收益
277800	278620	一定要想翻设法
278620	279420	延长单前数据
279420	280200	较好的小说寿命
280200	281900	这个阶段是一个非常长的周期
281900	282700	无法预估
282700	284060	所以核心是控制节奏
284060	285300	根据数据调整节奏
285300	286300	如果数据平稳
286300	286960	可以随几张
286960	288340	常见做法是用桥段
288340	288840	稳住读者
288840	289960	如果数据明显下滑
289960	290560	就要爆根
290560	291240	增加爆点
291240	291820	拉数据
291820	293100	灵活控制内容产出
293100	294760	到这里
294760	295620	有些同学会问
295620	296680	这个阶段是不是对
296680	297620	框架依赖性弱了
297620	298200	再加相反
298200	298980	40万字以后
298980	300080	反而是强框架依赖
300080	300800	因为比如
300800	301440	主角已经是
301440	302500	世界光里最强的角色
302500	303460	数据下滑时
303460	304200	想增加爆点
304200	305580	但主角已经是巅峰了
305580	307300	打反派都是切瓜砍菜
307300	308240	如何拉节奏呢
